epoch,train_loss
1,1.3240
2,0.9837
3,0.8082
4,0.5846
5,0.4260
6,0.3695
7,0.2718
8,0.3626
9,0.1536
10,0.0587
11,0.0638
12,0.1243
13,0.1855
14,0.2249
15,0.0985
16,0.0606
17,0.1329
18,0.0202
19,0.0091
20,0.0101
21,0.0397
22,0.0223
23,0.0094
24,0.0282
25,0.2042
26,0.0197
27,0.0153
28,0.0008
29,0.0018
30,0.0007
31,0.0007
32,0.0004
33,0.0010
34,0.0001
35,0.0001
36,0.0001
37,0.0001
38,0.0001
39,0.0001
40,0.0001
41,0.0001
42,0.0001
43,0.0001
44,0.0000
45,0.0003
46,0.0001
47,0.0000
48,0.0000
49,0.0000
50,0.0000
